,1 Accurate Long Balls,1 Corners,1 Dribbles Attempted,1 Dribbles Succeeded,1 Fouls Conceded,1 Goals,1 Interceptions,1 Long Balls,1 Offsides,1 Pass Completion,1 Possession,1 Red Cards,1 Shots,1 Shots Blocked,1 Shots woodwork,1 Tackles Attempted,1 Throws,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Yellow Cards,2 Accurate Long Balls,2 Corners,2 Dribbles Attempted,2 Dribbles Succeeded,2 Fouls Conceded,2 Goals,2 Interceptions,2 Long Balls,2 Offsides,2 Pass Completion,2 Possession,2 Red Cards,2 Shots,2 Shots Blocked,2 Shots woodwork,2 Tackles Attempted,2 Throws,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Yellow Cards,winner,fh winner
403,24,3,16,12,9,2,8,35,3,0.892,0.704,0,6,1,0,16,7,407,4,1.172,0,8,1,10,2,10,1,4,22,1,0.743,0.296,0,4,1,1,9,7,171,1,0.305,0,1,1
404,16,2,10,5,11,0,5,25,0,0.718,0.198,0,3,1,0,16,4,124,1,0.078,1,23,2,17,13,3,1,2,30,5,0.914,0.802,0,6,0,0,11,6,502,2,0.47,0,2,2
405,9,0,14,7,7,0,1,24,0,0.806,0.338,0,1,1,0,8,11,191,0,0.026,0,25,6,11,6,8,1,2,36,2,0.877,0.662,0,7,2,0,17,12,374,3,0.279,1,0,2
406,11,0,11,4,9,1,5,28,1,0.732,0.413,0,9,2,0,20,14,220,3,0.88,1,18,3,12,7,6,1,5,35,1,0.824,0.587,0,4,0,0,11,15,313,3,0.297,1,2,0
407,12,1,10,6,8,2,3,19,1,0.898,0.592,0,4,0,1,7,10,363,3,1.36,1,14,3,9,7,8,1,5,30,1,0.808,0.408,0,6,1,0,14,16,250,3,1.483,1,1,1
408,13,1,7,4,8,0,4,34,0,0.719,0.314,0,2,1,0,8,13,167,0,0.14,1,11,6,13,9,4,0,5,24,0,0.863,0.686,0,9,3,0,16,9,365,2,0.686,2,1,0
409,14,3,8,5,12,2,4,45,2,0.61,0.389,0,4,1,0,16,11,195,2,0.697,0,16,1,13,9,6,0,4,32,1,0.761,0.611,0,6,2,0,11,8,306,2,0.489,2,1,1
410,18,3,5,3,8,0,2,38,0,0.777,0.393,0,4,0,1,12,11,247,1,0.341,1,17,4,16,12,4,2,4,32,0,0.864,0.607,0,11,2,0,6,20,382,8,1.962,1,2,2
411,25,9,14,10,8,2,4,40,1,0.866,0.697,0,11,3,1,12,15,381,6,1.573,1,6,0,8,6,7,0,16,16,3,0.765,0.303,0,2,1,0,10,4,166,0,0.085,1,1,1
412,26,2,13,12,6,1,4,44,4,0.855,0.643,0,7,2,0,8,13,337,3,0.395,0,11,0,6,5,16,0,6,30,3,0.759,0.357,0,3,1,0,12,16,187,0,0.129,2,1,1
413,14,2,10,5,8,0,10,31,2,0.758,0.381,0,10,5,0,9,14,215,2,0.785,1,23,1,23,18,5,1,1,38,3,0.825,0.619,0,4,0,1,17,8,349,2,0.276,1,0,2
414,37,4,16,9,7,3,1,46,0,0.895,0.763,0,9,2,0,8,10,421,5,2.374,0,17,0,3,1,11,0,8,37,2,0.725,0.237,0,1,0,0,11,8,131,0,0.315,1,1,1
415,12,1,4,1,8,0,5,32,2,0.597,0.222,0,2,1,0,11,5,119,0,0.038,3,17,6,13,9,5,1,4,26,2,0.882,0.778,0,8,1,0,6,6,416,3,0.469,1,2,2
416,10,1,7,4,14,0,13,24,3,0.645,0.348,0,4,1,0,13,11,186,2,0.276,2,24,3,21,18,6,0,3,33,1,0.808,0.652,0,5,0,0,7,21,349,2,0.637,0,0,0
417,29,3,13,9,8,5,4,34,2,0.928,0.812,0,9,0,1,6,17,472,8,3.355,1,9,1,3,1,11,0,4,25,0,0.615,0.188,0,2,1,0,15,7,109,1,0.115,1,1,1
418,15,4,7,4,13,0,8,30,3,0.59,0.231,0,4,0,0,17,10,117,2,0.407,3,24,4,22,13,2,3,6,33,1,0.882,0.769,0,8,2,0,9,9,389,4,1.913,0,2,2
419,21,1,7,5,12,1,4,38,2,0.676,0.268,0,4,2,0,10,11,145,1,0.893,1,17,3,11,7,5,0,4,25,0,0.874,0.732,0,10,2,0,12,7,396,5,1.12,2,2,1
420,10,7,23,19,4,1,5,20,1,0.841,0.595,0,12,2,0,7,15,327,7,0.926,0,17,2,6,3,10,0,4,41,1,0.735,0.405,0,0,0,0,18,8,223,0,0.0,0,1,1
421,15,1,12,11,6,2,5,22,1,0.889,0.709,0,9,0,0,3,10,404,3,1.558,1,16,2,9,6,11,0,6,36,1,0.705,0.291,0,3,2,0,10,7,166,1,0.224,0,1,1
422,7,2,16,2,11,0,10,19,0,0.763,0.32,0,3,1,0,17,13,194,1,0.212,1,30,3,9,7,8,0,1,35,2,0.901,0.68,0,2,1,0,13,13,413,1,0.048,1,2,0
423,15,3,6,4,12,0,6,32,4,0.652,0.277,0,3,1,0,10,8,158,1,0.205,0,20,4,15,12,4,1,3,41,3,0.828,0.723,0,3,0,0,8,9,412,2,0.744,0,2,2
424,24,4,10,4,4,1,3,32,0,0.852,0.666,0,7,5,0,18,13,331,1,0.564,0,15,5,5,1,12,0,9,33,1,0.681,0.334,0,7,1,0,13,15,166,3,0.903,0,1,1
425,21,4,21,15,3,0,3,31,1,0.883,0.748,0,8,2,0,11,16,428,1,0.631,2,12,4,8,3,14,0,8,32,1,0.694,0.252,0,2,1,0,12,12,144,1,0.182,1,1,0
426,19,2,19,18,6,3,3,35,3,0.905,0.729,0,10,0,1,8,10,453,7,2.009,0,13,0,7,3,11,0,7,27,1,0.762,0.271,0,2,1,0,6,6,168,0,0.219,1,1,1
427,18,2,6,5,12,0,3,42,4,0.719,0.442,0,3,0,0,6,11,210,3,0.237,3,19,3,13,9,8,2,4,29,3,0.86,0.558,0,11,4,0,8,9,265,3,1.517,1,2,2
428,14,6,18,13,4,2,4,18,3,0.911,0.754,0,9,0,0,2,7,427,5,2.976,0,10,1,5,3,12,0,3,24,2,0.727,0.246,0,4,0,0,10,1,139,2,0.249,0,1,1
429,9,3,7,3,5,0,5,26,1,0.662,0.26,0,2,0,0,8,7,157,0,0.11,1,23,1,12,11,3,2,2,33,4,0.888,0.74,0,8,0,0,17,10,447,4,1.824,1,2,2
430,18,3,15,9,7,1,2,31,1,0.869,0.716,0,10,3,0,8,10,389,3,1.171,2,18,0,11,6,9,0,15,33,2,0.669,0.284,0,3,0,0,6,9,154,1,0.277,1,1,1
431,12,6,9,3,16,0,5,34,0,0.636,0.249,0,7,2,0,9,13,132,3,0.414,1,6,0,9,4,7,0,4,16,2,0.892,0.751,0,3,0,0,10,11,398,3,0.28,1,0,0
432,27,9,15,9,5,0,4,36,2,0.841,0.747,0,7,1,0,10,12,389,2,0.71,1,7,0,6,3,6,1,8,23,1,0.659,0.253,0,3,0,0,18,5,132,3,0.429,1,2,2
433,12,2,14,8,8,0,1,25,0,0.73,0.267,0,3,0,0,14,6,163,0,0.413,2,23,6,23,14,4,1,7,27,3,0.886,0.733,0,10,3,0,11,13,448,4,0.638,0,2,2
434,18,3,6,3,5,0,3,31,3,0.809,0.543,0,4,2,0,8,12,283,1,0.526,0,11,4,7,3,5,1,10,38,4,0.739,0.457,0,4,0,0,13,20,238,3,0.365,1,1,2
435,12,3,3,1,8,1,1,31,1,0.68,0.316,0,4,1,0,19,7,169,3,0.243,2,15,2,14,7,8,2,4,29,3,0.863,0.684,0,6,1,1,7,11,366,2,0.929,2,2,2
436,9,3,2,0,10,0,6,23,0,0.602,0.19,0,3,2,0,15,5,113,0,0.475,1,33,2,11,9,6,1,2,38,1,0.936,0.81,0,4,1,0,4,12,483,2,0.46,0,1,2
437,13,6,17,12,5,2,2,24,1,0.898,0.743,0,11,4,0,5,9,501,4,1.287,1,17,2,3,1,9,0,2,34,2,0.676,0.257,0,1,1,0,6,9,173,0,0.028,0,1,1
438,22,3,22,16,9,1,2,31,3,0.877,0.749,0,5,0,1,14,7,465,1,0.383,1,12,1,11,5,8,0,15,29,0,0.673,0.251,0,2,0,0,15,3,156,1,0.336,2,1,1
439,14,5,17,7,10,0,9,32,1,0.718,0.44,0,3,1,0,20,17,248,0,0.069,0,16,2,26,16,1,0,6,27,0,0.791,0.56,0,10,2,0,21,27,316,4,2.014,0,2,0
440,10,2,4,2,7,0,4,33,0,0.613,0.264,0,5,0,0,21,14,142,2,0.273,0,16,2,12,7,5,1,2,29,3,0.884,0.736,0,5,1,0,8,14,396,2,0.824,0,2,2
441,11,1,6,3,10,0,2,26,1,0.723,0.244,0,3,1,0,10,14,141,0,0.461,0,27,3,18,10,3,1,4,36,1,0.897,0.756,0,3,1,0,12,9,436,1,0.25,0,2,2
442,16,2,7,2,11,0,4,30,2,0.792,0.412,0,7,1,0,9,13,212,4,0.885,1,10,2,12,6,9,2,5,24,4,0.855,0.588,0,5,2,0,11,11,303,2,0.521,0,2,2
443,16,0,12,8,11,0,7,30,0,0.755,0.248,0,3,0,0,13,6,155,1,0.135,1,6,3,14,8,6,1,2,11,2,0.906,0.752,0,5,0,1,10,6,470,2,1.234,1,0,2
444,28,7,7,4,0,1,0,43,3,0.887,0.733,0,14,3,0,11,12,371,6,1.041,0,11,2,7,4,5,1,2,34,0,0.681,0.267,0,3,0,0,5,8,135,2,0.249,1,0,0
445,14,3,11,7,5,1,1,26,3,0.88,0.706,0,9,3,0,6,13,434,4,0.809,0,22,2,3,3,16,0,5,35,1,0.724,0.294,0,1,0,0,8,8,181,0,0.058,0,1,1
446,16,0,7,3,5,1,6,32,1,0.689,0.183,0,8,3,0,13,8,122,2,1.41,0,28,0,13,11,2,1,3,35,2,0.926,0.817,0,4,0,0,5,7,543,2,0.148,0,0,0
447,27,3,14,8,12,1,4,35,3,0.877,0.671,0,9,2,0,8,11,349,2,0.969,1,10,3,9,4,12,1,5,24,0,0.725,0.329,0,6,3,0,17,8,171,2,0.773,1,1,0
448,7,3,24,15,7,2,0,15,2,0.879,0.666,0,6,1,1,6,5,355,2,1.634,2,17,5,6,5,9,0,5,33,2,0.725,0.334,0,4,0,0,11,7,178,2,0.111,1,1,1
449,30,7,17,11,5,1,5,36,1,0.892,0.825,0,12,3,0,7,14,461,7,1.102,0,4,1,6,5,6,0,7,23,0,0.541,0.175,0,0,0,0,11,7,98,0,0.0,0,1,1
450,15,5,14,11,5,2,4,22,0,0.862,0.709,0,9,2,0,6,8,355,4,0.506,0,10,0,3,1,11,0,8,21,3,0.719,0.291,1,2,0,0,8,4,146,1,0.168,2,1,1
451,11,3,9,5,13,0,10,31,0,0.654,0.285,0,4,0,0,8,9,127,3,0.174,2,17,3,10,8,5,1,1,22,2,0.855,0.715,0,7,0,0,14,11,318,5,1.034,0,2,2
452,13,3,10,3,10,0,8,22,0,0.765,0.211,0,5,0,0,3,5,119,1,0.201,1,38,3,11,8,3,5,2,41,2,0.912,0.789,0,12,1,0,12,8,444,6,1.756,0,2,2
453,7,4,12,8,8,1,10,26,1,0.551,0.237,0,6,2,0,13,6,127,1,0.287,2,26,2,18,11,6,0,2,37,2,0.875,0.763,0,5,1,0,8,8,409,2,0.151,2,0,1
454,28,6,16,9,7,0,1,43,0,0.825,0.721,0,12,4,0,9,12,349,3,0.944,0,14,2,7,5,15,0,6,34,1,0.578,0.279,0,2,2,0,14,10,135,0,0.109,1,1,0
455,15,4,6,4,5,1,3,20,2,0.895,0.774,0,8,2,0,7,12,455,3,1.033,0,9,1,3,1,16,1,9,29,3,0.639,0.226,0,3,1,0,11,6,133,1,0.67,2,1,0
456,10,1,3,2,15,0,7,28,1,0.733,0.354,0,2,0,0,6,15,180,2,0.084,3,22,2,7,5,9,2,2,38,2,0.881,0.646,0,7,0,0,4,9,329,3,1.154,2,2,2
457,12,4,11,8,5,0,8,26,2,0.82,0.656,0,6,3,0,6,10,328,2,0.415,1,11,3,11,7,9,0,6,35,3,0.576,0.344,0,2,0,0,6,13,172,1,0.234,0,1,0
458,22,3,15,11,4,3,3,34,3,0.922,0.782,0,10,1,0,4,8,462,7,1.794,0,13,0,4,3,11,0,7,24,1,0.713,0.218,0,1,0,0,8,6,129,1,0.044,2,1,1
459,8,1,13,8,11,0,5,19,0,0.74,0.356,0,3,0,0,20,10,219,0,0.613,2,22,2,7,3,6,3,2,38,2,0.874,0.644,0,9,3,0,14,5,396,4,0.687,0,2,2
460,15,2,14,10,10,0,5,37,1,0.614,0.291,0,5,0,0,4,13,140,1,0.822,1,28,3,12,11,6,0,2,42,2,0.842,0.709,0,8,4,0,8,12,341,2,0.624,0,0,0
461,18,1,3,0,6,0,6,31,0,0.749,0.418,0,10,2,2,7,12,207,1,0.446,0,21,4,5,1,11,0,3,33,1,0.84,0.582,0,5,1,0,4,11,288,2,0.49,0,2,0
462,15,3,11,5,15,0,11,40,3,0.671,0.375,0,8,2,1,8,13,164,2,1.032,3,22,0,10,7,4,3,1,38,0,0.817,0.625,0,9,2,0,10,11,273,3,2.171,2,2,2
463,8,1,6,3,3,1,6,38,4,0.689,0.319,0,2,1,0,8,9,180,1,0.06,0,20,4,12,7,4,1,2,26,4,0.849,0.681,0,12,4,0,6,9,384,7,1.023,0,2,0
464,34,1,12,9,6,3,1,48,0,0.834,0.704,0,10,0,0,6,12,319,7,2.321,0,11,3,6,4,12,1,3,29,2,0.642,0.296,0,5,1,0,8,11,134,2,0.765,1,1,1
465,29,6,27,12,5,2,0,35,0,0.895,0.748,0,11,2,0,7,13,362,5,1.025,0,20,3,5,3,12,0,6,38,0,0.73,0.252,0,4,3,0,17,4,122,0,0.619,1,1,1
466,18,2,21,14,5,1,5,27,2,0.878,0.735,0,8,1,1,7,13,410,2,1.067,0,13,0,12,9,11,0,8,27,3,0.642,0.265,0,0,0,0,21,10,148,0,0.0,2,1,1
467,14,1,10,2,16,0,5,30,0,0.699,0.322,0,7,3,2,8,11,143,2,0.295,1,20,6,8,0,11,0,3,31,3,0.85,0.678,0,3,0,0,10,8,301,2,0.182,1,2,0
468,19,3,15,5,17,0,3,41,1,0.732,0.424,0,5,2,0,18,17,198,0,0.731,2,14,2,18,12,13,1,2,30,0,0.814,0.576,0,4,2,0,17,11,269,1,0.308,2,2,2
469,13,4,28,14,7,0,4,32,2,0.808,0.574,0,6,2,0,20,19,308,2,0.483,0,12,3,24,13,12,0,10,31,0,0.742,0.426,0,6,1,0,17,14,229,3,0.254,0,1,0
470,14,3,3,1,9,0,2,36,3,0.661,0.336,0,8,1,0,8,17,174,3,0.505,0,24,5,13,11,10,2,6,41,2,0.84,0.664,0,5,0,0,11,13,344,3,0.448,1,2,2
471,14,1,8,4,15,0,3,28,2,0.715,0.268,0,3,0,0,10,10,158,1,0.364,1,17,2,17,12,2,1,8,29,3,0.884,0.732,0,7,1,0,10,8,432,2,1.16,0,2,2
472,18,2,21,12,6,2,7,28,1,0.77,0.366,0,7,0,0,10,12,196,5,0.657,0,17,5,16,10,6,1,6,27,1,0.868,0.634,0,10,4,0,14,7,340,6,0.681,1,1,1
473,10,2,12,8,13,1,9,31,0,0.639,0.247,0,2,0,0,10,9,122,2,0.15,0,22,5,25,21,6,1,7,28,0,0.876,0.753,0,12,3,0,5,8,372,4,1.342,0,0,0
474,24,4,14,11,9,0,7,32,4,0.744,0.416,0,7,1,0,14,10,215,1,0.706,0,19,1,17,14,6,0,2,29,3,0.815,0.584,0,4,2,0,8,17,302,1,0.298,0,0,0
475,9,0,11,6,9,0,6,27,3,0.677,0.271,0,2,0,0,11,13,127,0,0.056,1,34,0,15,10,11,1,1,46,1,0.868,0.729,0,3,1,0,8,10,342,2,0.729,0,2,2
476,17,1,8,5,10,2,0,30,4,0.853,0.735,0,5,1,0,12,15,327,3,1.338,0,10,3,9,3,9,1,5,31,2,0.653,0.265,0,4,2,0,4,10,118,1,0.2,2,1,1
477,11,2,14,8,9,0,9,28,3,0.826,0.615,0,3,1,0,18,16,328,1,0.084,0,11,1,17,8,12,0,9,32,3,0.717,0.385,0,7,2,0,14,12,205,2,0.635,2,1,0
478,22,3,10,7,6,1,7,30,3,0.871,0.591,1,9,4,0,14,10,318,4,0.825,1,10,2,2,1,4,0,1,20,1,0.818,0.409,0,6,0,0,11,9,220,3,0.596,1,1,1
479,26,2,9,6,7,3,6,35,1,0.88,0.671,0,10,0,0,9,7,342,6,0.786,2,10,0,3,3,8,0,8,27,2,0.732,0.329,0,3,1,0,11,11,168,0,0.836,1,1,1
480,10,2,9,3,11,0,2,31,0,0.64,0.296,0,7,0,0,10,11,136,3,0.5,2,13,0,15,10,8,0,2,32,4,0.83,0.704,0,1,0,0,11,17,323,1,0.022,2,0,0
481,24,7,19,14,3,0,6,34,1,0.871,0.769,0,14,5,0,3,11,396,3,1.361,0,9,1,2,0,13,0,5,29,0,0.555,0.231,0,1,0,0,8,8,119,1,0.041,1,1,0
482,10,0,5,3,10,0,6,30,4,0.565,0.255,0,4,1,0,11,11,115,3,0.122,0,38,5,11,5,9,0,1,59,2,0.833,0.745,0,6,1,0,9,17,336,1,0.774,0,2,0
483,17,3,7,3,11,0,4,40,2,0.64,0.386,0,5,0,0,14,11,189,0,0.409,0,22,3,16,12,8,0,6,35,1,0.847,0.614,0,5,0,0,7,13,301,2,1.368,0,0,0
484,10,1,3,1,8,0,3,24,1,0.624,0.267,0,1,0,0,10,8,141,0,0.064,1,20,3,17,11,5,3,3,30,2,0.887,0.733,0,12,3,1,5,11,388,3,0.981,1,2,2
485,19,3,9,5,6,4,7,33,3,0.857,0.592,0,6,0,1,8,7,273,5,1.378,0,14,6,10,4,12,1,4,28,1,0.729,0.408,0,9,3,0,12,10,188,2,1.059,2,1,1
486,14,1,9,3,17,0,9,28,2,0.743,0.391,0,6,2,0,12,19,183,0,0.258,1,21,3,17,12,11,1,7,33,1,0.835,0.609,0,7,1,0,16,10,285,2,0.637,1,2,2
487,29,5,25,15,2,2,9,41,0,0.843,0.695,0,10,3,0,16,8,382,3,2.189,0,9,0,16,9,5,0,6,29,1,0.69,0.305,0,4,0,0,11,10,168,2,0.755,0,1,1
488,30,10,14,9,4,1,2,43,0,0.889,0.727,0,12,3,2,12,10,423,5,1.775,0,13,2,5,1,5,0,2,29,2,0.679,0.273,0,1,0,0,13,11,159,1,0.019,2,1,1
489,19,4,29,18,5,0,7,30,1,0.856,0.666,0,10,4,0,7,12,333,4,0.637,1,16,2,3,2,15,0,3,29,1,0.647,0.334,0,3,0,0,19,9,167,2,0.484,3,1,0
490,16,3,11,10,7,5,3,25,2,0.847,0.594,0,11,1,2,6,13,275,5,2.81,0,7,0,7,7,12,1,4,15,0,0.771,0.406,0,5,4,0,10,9,188,1,0.142,1,1,1
491,15,1,6,2,13,1,8,39,0,0.432,0.461,0,4,1,0,14,15,148,2,0.434,2,7,0,11,8,14,2,4,32,1,0.543,0.539,0,4,1,0,17,22,173,2,0.214,0,2,2
492,24,2,18,12,6,5,7,32,2,0.866,0.694,0,10,1,0,9,14,306,8,2.798,0,12,5,12,4,12,0,5,22,1,0.689,0.306,1,1,0,0,10,8,135,0,0.037,1,1,1
493,38,2,7,5,8,2,4,52,2,0.855,0.678,0,9,4,0,6,7,297,3,1.421,0,14,1,8,5,13,0,10,28,4,0.681,0.322,0,4,1,0,7,10,141,0,0.673,1,1,1
494,10,1,6,3,15,0,4,27,1,0.678,0.315,0,2,0,0,7,10,174,1,0.142,0,26,1,11,5,5,0,7,40,0,0.857,0.685,0,4,2,0,11,10,378,0,0.171,0,2,0
495,22,4,18,11,11,2,1,32,0,0.885,0.692,0,9,2,0,7,7,330,4,1.533,1,6,1,3,3,12,0,7,27,2,0.599,0.308,0,3,1,0,12,12,147,1,0.161,1,1,1
496,16,1,21,16,6,3,8,23,4,0.859,0.641,0,12,4,0,9,11,311,3,1.356,0,9,0,11,7,13,1,7,28,1,0.718,0.359,0,2,0,0,13,9,174,2,0.935,1,0,1
497,10,1,8,1,15,0,7,35,3,0.563,0.317,0,3,1,0,13,14,142,0,0.087,1,24,2,8,8,4,1,4,43,2,0.794,0.683,0,7,1,0,13,14,306,4,0.795,0,2,2
498,31,8,15,6,5,1,3,49,1,0.819,0.642,0,8,4,0,4,8,276,2,1.288,0,18,4,4,0,7,0,4,36,2,0.669,0.358,0,2,1,0,15,5,154,1,0.854,0,1,1
499,15,0,13,6,10,0,4,28,1,0.741,0.26,0,2,0,0,13,6,139,0,0.039,1,26,3,14,7,5,1,1,36,0,0.894,0.74,0,11,2,0,9,12,395,7,1.963,1,2,2
500,14,1,4,1,17,2,5,33,1,0.594,0.262,0,3,0,0,7,10,106,2,0.244,0,19,1,11,8,8,1,0,30,3,0.795,0.738,0,8,1,0,13,12,298,4,1.268,1,0,1
501,13,4,12,7,11,2,6,33,3,0.654,0.432,0,7,0,0,9,17,185,4,1.073,1,16,3,12,9,6,1,7,32,1,0.765,0.568,0,7,2,0,9,13,243,2,0.604,1,0,1
502,14,2,19,12,6,1,5,34,0,0.756,0.444,0,12,2,0,16,14,205,4,0.911,0,9,3,25,11,8,2,6,29,1,0.763,0.556,0,5,0,0,16,11,257,3,0.984,0,1,2
503,20,7,20,13,6,4,1,30,2,0.879,0.701,0,16,4,0,2,6,373,8,2.39,1,15,0,5,3,14,0,11,32,2,0.723,0.299,0,0,0,0,7,7,159,0,0.0,3,1,1
504,17,1,18,10,9,0,5,24,3,0.807,0.599,1,6,1,0,11,17,238,0,0.499,1,10,1,9,2,11,0,4,30,0,0.673,0.401,0,0,0,0,12,10,159,0,0.0,1,2,0
505,19,3,14,7,5,0,4,29,1,0.855,0.71,0,7,3,0,8,18,365,1,1.064,1,14,1,3,2,6,0,4,34,0,0.591,0.29,0,0,0,0,11,8,149,0,0.0,1,1,0
506,19,1,11,9,9,0,3,35,1,0.703,0.353,0,8,0,1,11,11,182,2,0.579,0,28,0,11,8,8,1,3,51,2,0.835,0.647,0,9,4,0,10,9,334,3,0.541,1,2,2
507,15,3,20,14,14,1,5,31,2,0.778,0.408,0,3,0,0,5,11,212,2,0.524,1,14,1,15,10,6,3,4,31,2,0.85,0.592,0,10,0,0,13,6,307,9,1.778,2,2,2
508,20,3,8,5,6,0,1,33,3,0.873,0.768,0,5,1,0,7,20,424,3,0.262,0,8,0,7,3,11,0,5,26,2,0.602,0.232,0,0,0,0,19,11,128,0,0.0,1,0,0
509,4,1,4,4,10,0,6,20,0,0.677,0.284,0,2,1,0,9,11,130,0,0.051,2,14,13,18,14,4,2,2,26,0,0.845,0.716,0,14,6,0,10,11,328,3,1.738,0,2,2
510,23,1,4,0,6,1,7,49,3,0.669,0.285,0,3,0,0,15,9,136,2,0.226,0,22,2,13,9,5,0,1,37,1,0.856,0.715,0,8,1,1,7,13,341,2,0.557,1,1,1
511,15,2,6,5,11,0,3,43,0,0.616,0.292,0,1,0,0,7,7,151,0,0.301,1,25,5,14,9,4,0,4,41,0,0.814,0.708,0,10,4,0,7,13,366,4,0.721,0,2,0
512,20,3,15,11,4,2,0,30,1,0.859,0.651,0,9,2,0,12,10,340,4,0.959,1,8,3,7,4,9,0,3,25,2,0.764,0.349,0,2,0,0,12,12,182,0,0.169,1,1,1
513,20,3,10,5,4,0,9,40,4,0.728,0.399,0,2,1,0,14,7,224,0,0.316,0,23,5,16,10,11,0,6,36,1,0.817,0.601,0,7,2,0,9,8,338,2,0.685,0,2,0
514,19,5,10,5,4,3,4,35,2,0.815,0.602,0,15,5,0,11,19,271,6,2.849,0,12,0,6,4,7,0,3,35,1,0.704,0.398,0,0,0,0,11,12,179,0,0.0,0,1,1
515,26,4,16,11,6,4,1,43,2,0.776,0.578,0,10,0,0,9,9,241,7,2.542,1,7,2,3,0,6,0,4,24,1,0.682,0.422,0,2,0,0,9,6,176,1,0.078,0,1,1
516,4,3,9,4,14,0,9,32,0,0.615,0.29,0,3,1,0,11,6,143,2,0.109,1,18,3,18,12,7,0,2,33,0,0.837,0.71,0,10,3,0,9,9,350,4,0.766,1,2,0
517,6,0,3,2,14,1,6,30,0,0.701,0.388,1,3,0,0,7,12,154,2,0.607,1,18,5,18,15,12,0,6,32,0,0.802,0.612,0,11,3,1,7,7,243,2,1.172,0,2,1
518,10,0,4,1,6,0,5,30,0,0.579,0.314,0,1,0,0,14,13,164,1,0.044,0,17,4,17,10,6,1,6,33,0,0.81,0.686,0,9,2,1,9,18,358,4,0.816,1,2,2
519,21,3,11,8,9,2,4,33,0,0.855,0.593,0,11,2,1,13,4,297,5,1.413,0,12,2,16,8,12,0,4,28,3,0.799,0.407,0,4,1,0,10,13,204,2,0.207,2,1,1
520,11,1,6,3,12,0,0,30,1,0.718,0.332,0,2,0,0,9,12,149,1,0.03,3,13,2,12,8,7,2,7,22,5,0.88,0.668,0,7,0,0,10,7,300,3,1.576,0,2,2
521,25,2,12,9,5,2,3,42,3,0.828,0.541,0,8,3,0,7,15,261,3,1.247,0,21,3,9,8,10,0,6,33,0,0.778,0.459,0,4,2,0,7,9,221,0,0.058,1,1,1
522,28,4,27,14,9,2,3,37,0,0.9,0.733,0,9,4,0,10,7,409,3,1.356,1,7,1,3,2,9,0,8,21,0,0.711,0.267,0,2,0,0,15,8,149,2,0.037,2,1,1
523,22,7,16,9,6,2,3,29,2,0.873,0.73,0,11,3,0,12,11,370,3,0.932,0,11,2,17,11,3,1,7,29,3,0.657,0.27,0,5,0,0,13,9,137,2,1.104,0,1,1
524,10,6,10,6,13,1,5,29,1,0.75,0.34,0,11,2,1,7,5,164,3,0.709,2,18,3,26,19,5,3,2,30,3,0.875,0.66,0,8,2,0,6,14,319,5,2.603,0,2,2
525,14,1,1,1,9,0,7,33,1,0.679,0.237,0,8,2,1,12,9,134,3,0.43,1,32,3,10,6,7,0,4,42,1,0.907,0.763,0,5,1,0,4,9,431,1,0.665,0,0,0
526,21,9,18,15,4,4,12,29,3,0.843,0.694,0,11,2,0,7,9,356,6,2.477,0,18,0,8,7,10,1,5,27,0,0.707,0.306,0,2,0,1,17,6,157,1,0.141,0,1,1
527,17,1,10,4,17,0,4,27,0,0.771,0.388,0,9,4,0,14,10,205,3,0.811,2,16,1,11,9,5,1,3,33,0,0.867,0.612,0,3,0,0,14,12,323,2,0.098,0,0,2
528,10,0,16,10,9,2,13,25,1,0.686,0.297,0,5,2,0,11,6,159,3,0.683,0,18,2,23,12,6,1,7,30,1,0.862,0.703,0,5,1,0,8,12,376,2,0.143,1,1,1
529,21,2,10,5,8,1,5,36,0,0.704,0.391,0,7,3,0,11,16,179,3,0.864,0,21,3,20,14,6,0,7,40,0,0.824,0.609,0,7,5,0,10,12,279,1,0.382,2,1,1
530,16,0,15,13,10,3,8,31,2,0.771,0.466,0,4,0,0,20,9,240,3,1.64,0,17,4,19,13,13,1,11,27,1,0.84,0.534,0,5,1,0,5,7,275,2,0.602,1,1,1
531,18,2,11,7,15,1,4,29,0,0.874,0.688,0,11,4,0,9,14,357,6,1.298,0,15,0,6,5,15,1,6,29,0,0.728,0.312,0,5,0,0,14,7,162,3,0.478,0,1,0
532,13,3,15,10,8,0,6,25,2,0.847,0.652,0,11,0,1,8,10,321,2,0.816,1,13,2,5,4,8,0,12,41,0,0.626,0.348,0,4,2,0,11,12,171,1,0.194,2,0,0
533,16,0,5,2,9,0,3,32,1,0.69,0.434,0,5,2,0,11,15,187,0,0.178,1,13,3,16,14,3,1,6,38,0,0.779,0.566,0,8,0,2,12,10,244,2,1.186,0,0,2
534,15,4,13,8,6,1,1,24,2,0.845,0.626,0,8,2,0,12,14,290,4,0.938,1,19,0,10,5,11,0,12,38,0,0.775,0.374,0,2,0,0,7,10,173,2,0.069,2,1,1
535,22,6,10,8,5,0,3,35,4,0.825,0.653,0,9,1,0,13,8,297,4,0.897,0,18,0,5,3,8,0,3,33,1,0.658,0.347,0,3,0,0,9,13,158,0,0.272,1,1,0
