,1 Accurate Long Balls,1 Corners,1 Dribbles Attempted,1 Dribbles Succeeded,1 Fouls Conceded,1 Goals,1 Interceptions,1 Long Balls,1 Offsides,1 Pass Completion,1 Possession,1 Red Cards,1 Shots,1 Shots Blocked,1 Shots woodwork,1 Tackles Attempted,1 Throws,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Yellow Cards,2 Accurate Long Balls,2 Corners,2 Dribbles Attempted,2 Dribbles Succeeded,2 Fouls Conceded,2 Goals,2 Interceptions,2 Long Balls,2 Offsides,2 Pass Completion,2 Possession,2 Red Cards,2 Shots,2 Shots Blocked,2 Shots woodwork,2 Tackles Attempted,2 Throws,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Yellow Cards,winner,fh winner
317,10,3,6,4,11,0,9,29,0,0.578,0.294,0,3,2,0,11,14,161,0,0.063,1,18,2,21,16,1,1,3,32,1,0.858,0.706,0,5,4,0,4,10,387,1,1.287,0,2,2
318,12,2,14,6,16,0,14,33,3,0.714,0.401,0,3,0,0,6,12,203,1,0.352,1,15,0,13,8,6,0,8,26,0,0.822,0.599,0,3,0,0,15,11,303,2,0.329,0,2,0
319,11,2,5,4,8,0,8,31,0,0.632,0.233,1,6,2,0,10,10,117,2,0.175,1,35,6,19,13,6,2,3,41,0,0.878,0.767,0,11,3,0,5,9,386,3,2.238,2,2,2
320,10,0,7,4,18,1,2,25,1,0.722,0.275,0,4,1,0,8,5,162,1,0.196,1,20,1,12,9,7,2,2,27,1,0.893,0.725,0,8,2,0,11,10,428,5,0.628,0,0,2
321,17,3,23,14,5,1,9,28,2,0.846,0.681,0,6,2,0,15,8,397,2,1.348,0,15,2,27,11,8,0,12,34,0,0.688,0.319,0,7,2,0,14,9,186,2,0.31,0,1,1
322,13,3,12,8,7,1,1,19,0,0.887,0.681,0,11,3,0,8,9,363,6,0.607,0,14,5,8,5,11,0,4,28,0,0.776,0.319,0,1,1,0,7,3,170,0,0.054,3,1,1
323,13,2,4,4,12,2,3,35,1,0.776,0.381,0,9,2,0,9,11,223,6,0.697,1,13,0,13,9,9,3,6,26,3,0.871,0.619,0,9,1,0,13,10,363,4,2.048,1,2,2
324,15,3,14,7,16,0,11,35,0,0.797,0.529,0,6,1,0,12,17,236,4,1.246,2,20,4,12,8,7,1,2,48,0,0.733,0.471,0,4,1,0,15,13,210,1,0.524,1,2,2
325,22,9,19,17,5,1,6,33,2,0.875,0.738,0,13,4,1,10,14,385,5,1.271,1,9,0,4,2,11,0,4,22,0,0.701,0.262,0,2,0,0,10,8,137,2,0.094,2,1,1
326,12,1,13,6,9,1,8,30,0,0.624,0.229,0,2,0,0,6,12,109,2,0.218,0,22,4,24,20,3,0,0,35,1,0.875,0.771,0,14,5,0,7,12,368,4,0.931,1,1,1
