,1 Corners,1 Fouls Committed,1 Fouls Wons,1 Goals,1 Offsides,1 Pass Completion,1 Possesion,1 Red Cards,1 Shot Attempts,1 Shots Blocked,1 Total Passes,1 Total Shots on Target,1 Total xG,1 Under Pressure,1 Yellow Cards,2 Corners,2 Fouls Committed,2 Fouls Wons,2 Goals,2 Offsides,2 Pass Completion,2 Possesion,2 Red Cards,2 Shot Attempts,2 Shots Blocked,2 Total Passes,2 Total Shots on Target,2 Total xG,2 Under Pressure,2 Yellow Cards,winner,fh winner
408,1,1,0,0,0,0.719,0.314,0,2,1,167,0,0.140463437,0.186,1,6,1,2,0,0,0.863,0.686,0,9,3,365,2,0.685645917,0.151,2,1,0
409,3,3,3,2,2,0.61,0.389,0,4,1,195,0,0.6971370969999999,0.123,0,1,1,7,0,1,0.761,0.611,0,6,2,306,2,0.48927201200000003,0.118,2,1,1
410,3,3,0,0,0,0.777,0.393,0,4,0,247,2,0.340948394,0.057,1,4,0,4,2,0,0.864,0.607,0,11,2,382,6,1.962340201,0.136,1,2,2
411,9,0,3,2,1,0.866,0.697,0,11,3,381,5,1.5730099100000001,0.121,1,0,2,1,0,3,0.765,0.303,0,2,1,166,0,0.085276218,0.09,1,1,1
412,2,0,5,1,4,0.855,0.643,0,7,2,337,2,0.39501487300000004,0.101,0,0,3,1,0,3,0.759,0.357,0,3,1,187,0,0.128619701,0.134,2,1,1
413,2,2,2,0,2,0.758,0.381,0,10,5,215,2,0.784563244,0.172,1,1,0,7,1,3,0.825,0.619,0,4,0,349,2,0.275569647,0.126,1,0,2
414,4,3,4,3,0,0.895,0.763,0,9,2,421,2,2.3740415169999998,0.059,0,0,3,3,0,2,0.725,0.237,0,1,0,131,0,0.31474134,0.122,1,1,1
415,1,2,3,0,2,0.597,0.222,0,2,1,119,0,0.037585365,0.227,3,6,1,3,1,2,0.882,0.778,0,8,1,416,2,0.468597272,0.06,1,2,2
416,1,0,3,0,3,0.645,0.348,0,4,1,186,2,0.276447477,0.161,2,3,0,7,0,1,0.808,0.652,0,5,0,349,2,0.6368159480000001,0.232,0,0,0
417,3,1,8,4,2,0.928,0.812,0,9,0,472,5,3.35479834,0.193,1,1,5,1,0,0,0.615,0.188,0,2,1,109,1,0.115400465,0.22,1,1,1
418,4,3,0,0,3,0.59,0.231,0,4,0,117,2,0.406538138,0.214,3,4,0,7,2,1,0.882,0.769,0,8,2,389,2,1.913226908,0.149,0,2,2
419,1,4,3,1,2,0.676,0.268,0,4,2,145,0,0.892819311,0.29,1,3,3,6,0,0,0.874,0.732,0,10,2,396,5,1.119905024,0.159,2,2,1
420,7,0,6,1,1,0.841,0.595,0,12,2,327,6,0.9260167272999998,0.193,0,2,5,1,0,1,0.735,0.405,0,0,0,223,0,0.0,0.17,0,1,1
421,1,0,4,2,1,0.889,0.709,0,9,0,404,1,1.558126168,0.131,1,2,1,1,0,1,0.705,0.291,0,3,2,166,1,0.223811952,0.229,0,1,1
422,2,6,2,0,0,0.763,0.32,0,3,1,194,1,0.2121049925,0.119,1,3,2,7,0,2,0.901,0.68,0,2,1,413,1,0.048114423,0.087,1,2,0
423,3,4,2,0,4,0.652,0.277,0,3,1,158,1,0.205378919,0.114,0,4,0,4,1,3,0.828,0.723,0,3,0,412,1,0.743694555,0.07,0,2,2
424,4,0,6,1,0,0.852,0.666,0,7,5,331,0,0.5642358559999999,0.079,0,5,4,1,0,1,0.681,0.334,0,7,1,166,3,0.9033524780000001,0.169,0,1,1
425,4,0,12,0,1,0.883,0.748,0,8,2,428,1,0.631097995,0.091,2,4,10,1,0,1,0.694,0.252,0,2,1,144,1,0.181960668,0.201,1,1,0
426,2,1,7,3,3,0.905,0.729,0,10,0,453,5,2.0094479379999997,0.159,0,0,4,2,0,1,0.762,0.271,0,2,1,168,0,0.21880888699999998,0.262,1,1,1
427,2,0,5,0,4,0.719,0.442,0,3,0,210,3,0.237048853,0.152,3,3,1,2,2,3,0.86,0.558,0,11,4,265,1,1.517418112,0.155,1,2,2
428,6,0,5,2,3,0.911,0.754,0,9,0,427,3,2.9761404139999996,0.199,0,1,3,0,0,2,0.727,0.246,0,4,0,139,2,0.2493602735,0.367,0,1,1
429,3,2,1,0,1,0.662,0.26,0,2,0,157,0,0.1101356,0.236,1,1,0,4,2,4,0.888,0.74,0,8,0,447,2,1.8235273025,0.089,1,2,2
430,3,3,5,1,1,0.869,0.716,0,10,3,389,2,1.170822692,0.111,2,0,3,1,0,2,0.669,0.284,0,3,0,154,1,0.277281293,0.227,1,1,1
431,6,5,3,0,0,0.636,0.249,0,7,2,132,3,0.41429531500000005,0.098,1,0,1,5,0,2,0.892,0.751,0,3,0,398,3,0.28048636,0.103,1,0,0
432,9,1,3,0,2,0.841,0.747,0,7,1,389,2,0.709514757,0.08,1,0,2,2,1,1,0.659,0.253,0,3,0,132,2,0.42941459,0.129,1,2,2
433,2,3,3,0,0,0.73,0.267,0,3,0,163,0,0.41328261699999996,0.362,2,6,2,3,1,3,0.886,0.733,0,10,3,448,3,0.638162524,0.181,0,2,2
434,3,0,1,0,3,0.809,0.543,0,4,2,283,1,0.52568718,0.177,0,4,0,0,1,4,0.739,0.457,0,4,0,238,2,0.365138988,0.155,1,1,2
435,3,1,2,1,1,0.68,0.316,0,4,1,169,2,0.24292744900000002,0.207,2,2,1,3,2,3,0.863,0.684,0,6,1,366,1,0.9292287730000001,0.123,2,2,2
436,3,0,3,0,0,0.602,0.19,0,3,2,113,0,0.47478539799999997,0.097,1,2,1,2,1,1,0.936,0.81,0,4,1,483,1,0.45962274599999997,0.079,0,1,2
437,6,1,7,2,1,0.898,0.743,0,11,4,501,2,1.286926872,0.06,1,2,4,3,0,2,0.676,0.257,0,1,1,173,0,0.028489469,0.064,0,1,1
438,3,5,1,1,3,0.877,0.749,0,5,0,465,1,0.383008464,0.168,1,1,1,6,0,0,0.673,0.251,0,2,0,156,1,0.33583673,0.115,2,1,1
439,5,4,0,0,1,0.718,0.44,0,3,1,248,0,0.0689723345,0.222,0,2,0,4,0,0,0.791,0.56,0,10,2,316,4,2.013857302,0.165,0,2,0
440,2,1,2,0,0,0.613,0.264,0,5,0,142,2,0.272881154,0.127,0,2,1,2,1,3,0.884,0.736,0,5,1,396,1,0.823885338,0.101,0,2,2
441,1,4,0,0,1,0.723,0.244,0,3,1,141,0,0.46097772299999995,0.213,0,3,0,5,1,1,0.897,0.756,0,3,1,436,0,0.249519759,0.186,0,2,2
442,2,2,4,0,2,0.792,0.412,0,7,1,212,4,0.884762898,0.094,1,2,1,5,2,4,0.855,0.588,0,5,2,303,0,0.521253624,0.03,0,2,2
443,0,0,5,0,0,0.755,0.248,0,3,0,155,1,0.13514032,0.181,1,3,1,2,1,2,0.906,0.752,0,5,0,470,2,1.234296168,0.074,1,0,2
444,7,0,1,1,3,0.887,0.733,0,14,3,371,5,1.0405837930000001,0.073,0,2,0,0,1,0,0.681,0.267,0,3,0,135,1,0.24946157600000002,0.193,1,0,0
445,3,1,8,1,3,0.88,0.706,0,9,3,434,3,0.8087762205,0.106,0,2,8,3,0,1,0.724,0.294,0,1,0,181,0,0.058498498,0.16,0,1,1
446,0,0,1,1,1,0.689,0.183,0,8,3,122,1,1.4099845834,0.311,0,0,0,1,1,2,0.926,0.817,0,4,0,543,1,0.1482497675,0.164,0,0,0
447,3,2,6,1,3,0.877,0.671,0,9,2,349,1,0.968827902,0.126,1,3,4,3,1,0,0.725,0.329,0,6,3,171,1,0.772523944,0.158,1,1,0
448,3,0,7,2,2,0.879,0.666,0,6,1,355,1,1.63434201,0.121,2,5,6,1,0,2,0.725,0.334,0,4,0,178,2,0.1113835944,0.079,1,1,1
449,7,1,4,1,1,0.892,0.825,0,12,3,461,6,1.1015331499999998,0.065,0,1,1,2,0,0,0.541,0.175,0,0,0,98,0,0.0,0.143,0,1,1
450,5,1,7,2,0,0.862,0.709,0,9,2,355,2,0.505963751,0.059,0,0,1,1,0,3,0.719,0.291,1,2,0,146,1,0.16813730999999998,0.144,2,1,1
451,3,1,4,0,0,0.654,0.285,0,4,0,127,3,0.1739793,0.173,2,3,0,3,1,2,0.855,0.715,0,7,0,318,4,1.033537842,0.053,0,2,2
452,3,3,0,0,0,0.765,0.211,0,5,0,119,1,0.201070401,0.101,1,3,0,3,4,2,0.912,0.789,0,12,1,444,2,1.756105588,0.056,0,2,2
453,4,3,4,1,1,0.551,0.237,0,6,2,127,0,0.28660115399999997,0.142,2,2,2,2,0,2,0.875,0.763,0,5,1,409,2,0.151223317,0.203,2,0,1
454,6,1,9,0,0,0.825,0.721,0,12,4,349,3,0.9442708040000001,0.241,0,2,7,1,0,1,0.578,0.279,0,2,2,135,0,0.108899075,0.215,1,1,0
455,4,2,7,1,2,0.895,0.774,0,8,2,455,2,1.03307941,0.204,0,1,7,3,1,3,0.639,0.226,0,3,1,133,0,0.66995508,0.271,2,1,0
456,1,1,6,0,1,0.733,0.354,0,2,0,180,2,0.08356448,0.128,3,2,2,5,2,2,0.881,0.646,0,7,0,329,1,1.154485088,0.109,2,2,2
457,4,0,4,0,2,0.82,0.656,0,6,3,328,2,0.414557526,0.113,1,3,0,3,0,3,0.576,0.344,0,2,0,172,1,0.23399926,0.267,0,1,0
458,3,0,3,3,3,0.922,0.782,0,10,1,462,4,1.7940937789999998,0.245,0,0,2,1,0,1,0.713,0.218,0,1,0,129,1,0.043863382,0.279,2,1,1
459,1,1,2,0,0,0.74,0.356,0,3,0,219,0,0.61299207,0.155,2,2,1,2,3,2,0.874,0.644,0,9,3,396,1,0.687220151,0.136,0,2,2
460,2,2,4,0,1,0.614,0.291,0,5,0,140,1,0.822242454,0.129,1,3,1,2,0,2,0.842,0.709,0,8,4,341,2,0.623569477,0.24,0,2,0
461,1,1,5,0,0,0.749,0.418,0,10,2,207,3,0.4460769680000001,0.135,0,4,1,3,0,1,0.84,0.582,0,5,1,288,2,0.489658674,0.076,0,2,0
462,3,2,1,0,3,0.671,0.375,0,8,2,164,3,1.0319931370000002,0.201,3,0,2,8,3,0,0.817,0.625,0,9,2,273,0,2.1709286779999997,0.095,2,2,2
463,1,1,3,1,4,0.689,0.319,0,2,1,180,0,0.059941653,0.261,0,4,2,1,1,4,0.849,0.681,0,12,4,384,6,1.0226838020000002,0.06,0,2,0
