id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
782,Ben Chilwell,6,540,3,1.298326052725315,1,0.8330149557441473,13,10,0,0,D M,Chelsea,3,1.298326052725315,3.937902458012104,2.8827292025089264
2496,Rodri,19,1658,3,1.1085276529192924,1,0.9461587630212308,21,16,5,0,M,Manchester City,3,1.1085276529192924,15.308350414037704,13.848504960536957
2498,Aymeric Laporte,19,1641,3,2.6903820000588894,0,0.2471596281975507,26,4,5,1,D,Manchester City,3,2.6903820000588894,11.625324334949257,11.42369638197124
2662,Christian Pulisic,12,748,3,3.265300936996937,0,0.4240337293595075,12,8,1,0,D F M S,Chelsea,3,3.265300936996937,4.596597364172339,1.0486329421401024
3277,Alexandre Lacazette,15,872,3,4.182641874998808,3,1.2645069807767868,14,14,0,0,F M S,Arsenal,2,2.660304140299558,5.175618544220924,2.244723152369261
4456,Chris Wood,19,1583,3,5.414190609008074,0,0.5358477300032973,36,11,1,0,F,"Burnley,Newcastle United",3,5.414190609008074,5.1427919305861,1.621974065899849
5555,Dominic Calvert-Lewin,6,523,3,4.71835707500577,0,0.2561210617423057,18,5,1,0,F,Everton,1,2.4348873533308506,2.615019988268614,0.156407780945301
5556,Ademola Lookman,13,813,3,2.186232566833496,0,0.8606500141322613,12,12,1,0,F M S,Leicester,3,2.186232566833496,6.6936947628855705,4.068583406507969
5786,Yoane Wissa,15,439,3,0.9030795218423008,0,0.1650449112057685,9,3,0,0,F S,Brentford,3,0.9030795218423008,0.976426938548684,0.0707931667566299
6042,Jan Bednarek,17,1419,3,2.063798863440752,0,0.2011005654931068,10,3,5,0,D S,Southampton,3,2.063798863440752,3.783786842599511,3.557592080906033
6552,Bryan Mbeumo,20,1680,3,5.806849926710129,3,1.5277504716068506,40,18,2,0,F,Brentford,2,5.045681059360504,9.302714647725224,3.753529485315085
7723,John McGinn,18,1569,3,0.6551090776920319,2,3.165619383566081,23,29,5,0,M,Aston Villa,3,0.6551090776920319,6.048300785943866,3.3812703508883715
8288,Tomas Soucek,21,1880,3,3.4109140671789646,1,1.1846681237220764,30,12,2,0,M,West Ham,3,3.4109140671789646,5.811513360589743,3.314078025519848
8941,Jacob Ramsey,19,1260,3,1.781008556485176,1,1.4154308922588823,19,11,3,0,F M S,Aston Villa,3,1.781008556485176,5.687974486500025,2.8049587048590183
9738,Patson Daka,8,352,3,2.9658545330166817,3,1.4196810126304626,11,6,0,0,F S,Leicester,3,2.9658545330166817,4.873181216418743,1.4441380258649588
343,Pierre-Emile Højbjerg,18,1611,2,2.186291830614209,1,0.7724079005420208,20,11,1,0,M,Tottenham,2,2.186291830614209,10.13567791134119,7.47393836826086
484,Divock Origi,3,27,2,0.797816552221775,0,0.0,5,0,0,0,S,Liverpool,2,0.797816552221775,0.859704926609993,0.0618883669376373
501,Danny Welbeck,8,370,2,1.04405090585351,0,0.202304471284151,10,3,0,0,F M S,Brighton,2,1.04405090585351,1.319974947720766,0.170015400275588
558,Jesse Lingard,9,73,2,0.5119635220617056,0,0.0710409414023161,4,2,0,0,S,Manchester United,2,0.5119635220617056,0.6898438557982445,0.1338207200169563
605,Jordan Henderson,19,1494,2,0.8708809148520231,3,2.7482198122888803,18,23,2,0,M S,Liverpool,2,0.8708809148520231,11.156022112816572,8.196084726601839
620,Kelechi Iheanacho,14,572,2,2.008420269936323,4,2.1163385026156902,15,11,0,0,F S,Leicester,2,2.008420269936323,5.085203098133206,1.3089868687093258
675,Jack Grealish,16,1266,2,4.593889966607094,2,2.860423964448273,30,34,1,0,F M S,Manchester City,2,4.593889966607094,12.502374656498432,6.407995983958244
751,N&#039;Golo Kanté,14,950,2,0.8690819460898638,2,1.0380684090778232,9,8,1,0,M S,Chelsea,2,0.8690819460898638,5.604625787585974,3.760637816041708
757,Jeffrey Schlupp,16,659,2,1.4155598934739828,1,1.349190179258585,17,8,0,0,F M S,Crystal Palace,2,1.4155598934739828,3.528456676751375,1.1302688717842102
769,Jonjo Shelvey,13,997,2,0.4515645280480385,0,0.3934127576649189,18,11,3,1,M S,Newcastle United,2,0.4515645280480385,1.7224387405440211,1.222066699527204
822,Patrick Bamford,6,457,2,2.418504185974598,2,0.39914455357939,16,3,2,0,F S,Leeds,2,2.418504185974598,2.5039670076221228,0.4154012054204941
1078,Sergi Canos,22,1687,2,2.6200957000255585,2,1.4822645522654057,26,11,5,0,D F M S,Brentford,2,2.6200957000255585,4.685471273958683,1.4662746712565422
1654,Ben Mee,13,1170,2,2.042051743716001,0,0.0254189576953649,11,2,3,0,D,Burnley,2,2.042051743716001,1.3623542580753565,1.349588860757649
1726,Abdoulaye Doucouré,16,1419,2,1.7508166581392288,4,1.642215533182025,24,11,4,0,M,Everton,2,1.7508166581392288,5.766390120610595,2.701786307618022
